"respid","hCountry","countrycode","Q9_ees_numeric","lrgen_selfdescription","econ_interven","redistribution","sociallifestyle","civlib_laworder","immigrate_policy_reversed","environment","immigrate_policy","econ_interven_factor","environment_factor","redistribution_factor","civlib_laworder_factor","immigrate_policy_factor","sociallifestyle_factor","prediction_lm_lrgen1","prediction_lm_lrgen2","prediction_polr_lrgen1","prediction_polr_lrgen2","prediction_rf_lrgen1","prediction_rf_lrgen2","prediction_rf_lrgen2_unrounded","prediction_lm_lrecon1","prediction_polr_lrecon1","prediction_rf_lrecon1","prediction_rf_lrecon2","prediction_rf_lrecon2_unrounded","prediction_lm_galtan1","prediction_polr_galtan1","prediction_rf_galtan1","prediction_rf_galtan2","prediction_rf_galtan2_unrounded"
"11029","1","1040",1040520,5,4,6,2,10,5,3,5,"4","3","6","10","5","2",6,6,6,7,6,6,5.72332572886798,5,5,6,5,5.23161601059269,5,8,3,5,4.97012625915613
"11228","1","1040",1040520,7,6,4,8,3,5,2,5,"6","2","4","3","5","8",5,5,5,5,5,5,5.35866152426575,5,5,5,6,5.73334483279897,6,3,5,7,6.79181413253671
"11327","1","1040",1040520,5,6,3,0,3,7,4,3,"6","4","3","3","3","0",4,4,4,4,4,4,4.06366039360302,5,5,4,5,5.11981335763709,2,2,0,1,1.48486348134372
"11741","1","1040",NA,7,NA,5,3,3,1,0,9,NA,"0","5","3","9","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,4,3.79977174880454
"12208","1","1040",1040110,0,1,0,0,0,6,0,4,"1","0","0","0","4","0",1,2,1,1,1,2,1.53111534927759,1,1,1,1,1.3403797108373,1,1,0,1,1.21363739415716
"12320","1","1040",1040520,5,8,9,10,0,1,1,9,"8","1","9","0","9","10",8,7,8,7,8,7,7.04943197227142,8,8,9,8,8.09743823882715,7,3,10,7,6.85147722242767
"12369","1","1040",1040320,3,5,2,0,2,7,0,3,"5","0","2","2","3","0",3,3,3,3,2,3,3.08338231903657,4,4,3,3,3.46613805743911,1,2,0,1,1.3333884806064
"15201","1","1040",1040320,5,5,0,2,3,4,3,6,"5","3","0","3","6","2",4,4,4,4,3,4,3.85036331094584,3,3,5,3,3.3433599029289,3,3,3,3,3.29001307416017
"15213","1","1040",1040110,2,2,4,0,3,7,0,3,"2","0","4","3","3","0",3,3,3,3,3,3,3.07215214554258,3,3,3,4,3.66878877277584,2,2,0,1,1.48486348134372
"15451","1","1040",1040110,4,1,10,0,3,4,8,6,"1","8","10","3","6","0",5,5,5,5,5,5,4.74675893457444,6,6,5,6,6.03089650498022,2,3,0,2,1.9539794938391
"15557","1","1040",1040423,4,6,3,2,6,6,1,4,"6","1","3","6","4","2",5,5,5,5,5,5,4.57109230351597,5,5,5,5,4.53645517177733,4,5,4,4,4.21353079509947
"15738","1","1040",1040110,4,3,1,5,6,6,6,4,"3","6","1","6","4","5",4,4,4,4,3,4,3.793994664523,3,3,3,3,3.18760518254858,5,5,4,5,5.49271181706774
"16833","1","1040",1040320,5,6,4,1,3,10,3,0,"6","3","4","3","0","1",4,4,4,4,4,5,4.56168148581444,5,5,6,6,5.9468204662775,2,1,1,1,1.40310716732557
"17096","1","1040",1040420,5,0,0,5,5,0,4,10,"0","4","0","5","10","5",4,4,4,4,0,4,3.52027050544982,1,1,1,1,1.19670345496848,6,8,5,7,7.02117271125996
"17097","1","1040",1040110,5,7,7,9,6,3,3,7,"7","3","7","6","7","9",7,7,8,7,7,7,6.97812072121081,7,7,7,7,7.08478227348931,8,6,8,8,7.52881817058161
"17099","1","1040",1040320,3,3,2,0,2,7,1,3,"3","1","2","2","3","0",3,3,2,2,2,3,2.66741316317008,3,3,3,3,3.1631280619821,1,2,0,1,1.3333884806064
"17102","1","1040",NA,5,NA,10,10,NA,NA,10,NA,NA,"10","10",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17103","1","1040",1040320,4,7,4,3,3,6,3,4,"7","3","4","3","4","3",5,5,5,5,7,5,5.3283153772596,6,6,7,6,6.23383119809807,3,2,3,3,3.32996423952782
"17106","1","1040",1040600,1,2,2,1,3,8,0,2,"2","0","2","3","2","1",2,2,2,2,2,3,2.64101393757843,2,2,3,3,2.67852552650992,2,2,1,2,1.86077860212895
"17107","1","1040",1040420,8,8,9,10,3,0,5,10,"8","5","9","3","10","10",8,8,9,8,9,8,7.94829992632417,8,8,8,8,8.182563868789,8,5,10,8,8.23455869320048
"17110","1","1040",NA,5,NA,NA,NA,NA,NA,8,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17112","1","1040",NA,5,5,5,10,5,7,0,3,"5","0","5","5","3","10",5,5,5,5,5,5,5.12806579850653,5,5,5,5,4.84815837168018,7,3,9,7,6.66467899131048
"17114","1","1040",1040320,5,7,8,0,2,8,4,2,"7","4","8","2","2","0",5,5,5,5,7,5,5.492827441875,7,8,8,8,7.54545221818706,1,1,0,1,1.3075289701513
"17116","1","1040",1040420,5,4,3,5,6,5,6,5,"4","6","3","6","5","5",5,5,5,5,5,5,4.88228024251701,4,4,4,4,4.11351920064666,5,5,5,6,5.79179111965291
"17118","1","1040",1040520,5,7,4,8,6,3,3,7,"7","3","4","6","7","8",7,6,7,7,6,6,6.25514639007735,6,6,7,6,6.23383119809807,7,6,8,7,7.42427950654067
"17120","1","1040",1040320,4,6,7,7,7,10,3,0,"6","3","7","7","0","7",6,5,6,5,7,6,6.36304944419896,6,7,7,6,6.47102215038428,5,3,8,6,5.58724421299016
"17124","1","1040",1040423,4,5,3,5,5,4,4,6,"5","4","3","5","6","5",5,5,5,5,5,5,4.83114054450751,5,4,5,5,4.80013521766044,5,5,5,5,5.26105256508197
"17128","1","1040",1040420,5,5,4,3,4,5,3,5,"5","3","4","4","5","3",5,5,5,5,5,5,4.72947888998846,5,5,5,5,4.79174055723118,4,3,4,4,3.95740531915017
"17131","1","1040",1040520,5,3,4,4,4,5,4,5,"3","4","4","4","5","4",4,4,4,4,4,4,4.15778877251794,4,4,4,4,4.04540565797555,4,3,5,5,4.67998889725845
"17134","1","1040",1040320,2,3,2,0,0,10,2,0,"3","2","2","0","0","0",2,2,2,2,2,3,2.77664950180772,3,3,3,3,3.22855603330147,0,0,0,1,0.701834812350845
"17136","1","1040",1040420,7,7,0,0,0,1,3,9,"7","3","0","0","9","0",4,4,4,4,5,4,4.20742000261619,4,4,1,4,3.67268450315001,2,3,0,2,1.90698724897243
"17137","1","1040",NA,4,10,5,6,5,5,5,5,"10","5","5","5","5","6",7,7,7,7,5,6,6.05851853361646,7,8,5,7,6.65367185773674,6,5,5,6,5.54639444808646
"17138","1","1040",1040420,6,5,5,4,2,0,5,10,"5","5","5","2","10","4",6,6,6,6,5,6,6.00376937517681,5,5,5,6,5.67037365764015,5,5,5,5,4.70026614189768
"17142","1","1040",1040520,3,5,3,3,3,3,3,7,"5","3","3","3","7","3",5,5,5,5,5,4,4.4720322397277,4,4,5,5,4.57483403467602,4,5,4,4,3.96113692167611
"17143","1","1040",1040320,6,7,6,1,2,0,0,10,"7","0","6","2","10","1",6,6,6,7,6,6,6.25132773117302,6,7,5,6,6.01831999645762,4,5,1,3,2.95174264346544
"17145","1","1040",1040520,6,3,8,1,10,0,2,10,"3","2","8","10","10","1",7,8,7,8,9,7,6.87918831186008,5,5,2,3,3.48444028641124,6,10,10,7,7.07014624609758
"17146","1","1040",NA,1,8,5,3,2,8,1,2,"8","1","5","2","2","3",5,5,5,5,5,5,5.07022829547837,6,7,8,6,6.39424286160437,3,1,2,3,2.57219949235969
"17149","1","1040",1040420,6,4,4,9,2,4,1,6,"4","1","4","2","6","9",5,4,5,4,5,5,4.92598360813864,4,4,4,4,3.84020442607687,6,3,8,7,6.97845838576418
"17152","1","1040",NA,5,NA,0,0,4,5,3,5,NA,"3","0","4","5","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,3,2.66029089992052
"17153","1","1040",1040420,5,10,0,0,10,0,5,10,"10","5","0","10","10","0",7,8,7,8,10,6,5.86927576911402,6,5,1,3,3.47086617472349,5,10,10,7,7.30708287990738
"17157","1","1040",NA,5,4,4,3,4,3,2,7,"4","2","4","4","7","3",5,5,5,5,4,4,4.4427193622211,4,4,4,4,4.3187551120585,4,5,4,4,4.07035857589282
"17158","1","1040",NA,4,6,4,7,6,5,3,5,"6","3","4","6","5","7",6,6,6,5,6,6,5.92731164573721,5,5,6,6,5.9468204662775,6,5,6,7,6.53336327485696
"17160","1","1040",1040520,5,4,5,0,0,3,4,7,"4","4","5","0","7","0",4,4,4,4,5,5,4.53557910954244,5,5,5,5,5.1167987863183,2,2,0,2,1.79716845050483
"17163","1","1040",NA,6,10,0,5,10,5,0,5,"10","0","0","10","5","5",6,6,7,7,3,5,4.85962971078974,5,5,1,2,2.19929989462314,6,8,7,6,6.484474641171
"17165","1","1040",1040320,1,5,3,2,7,7,2,3,"5","2","3","7","3","2",4,5,4,5,5,5,4.61663814310157,4,4,5,5,4.66303654047241,4,5,2,4,3.77838264089602
"17167","1","1040",NA,5,5,0,5,0,5,0,5,"5","0","0","0","5","5",3,3,3,2,2,4,3.5943342212978,3,3,2,3,2.92547236506552,4,1,5,4,4.36334428603717
"17169","1","1040",1040600,5,9,6,1,0,2,4,8,"9","4","6","0","8","1",6,6,6,7,5,6,5.9587410904992,7,8,7,7,7.06794071292187,3,3,1,2,2.48760543331197
"17170","1","1040",1040520,4,7,5,0,2,10,0,0,"7","0","5","2","0","0",4,4,4,4,4,4,4.21945607170932,6,6,5,5,5.25288455236068,1,0,0,1,0.996176911925069
"17171","1","1040",1040420,10,10,NA,10,5,NA,6,NA,"10","6",NA,"5",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17175","1","1040",NA,2,3,5,7,3,1,3,9,"3","3","5","3","9","7",6,5,5,5,5,6,5.68438331307579,4,4,4,5,4.56640130441889,6,5,8,7,6.78139169302346
"17182","1","1040",1040320,2,7,3,0,3,5,1,5,"7","1","3","3","5","0",5,5,4,5,4,4,4.30849729908031,5,5,3,4,4.1790089999197,2,3,0,2,2.30647059962789
"17184","1","1040",1040520,5,5,2,2,7,8,6,2,"5","6","2","7","2","2",4,4,4,4,4,5,4.55208605029334,4,4,5,5,5.2319883800983,4,5,2,3,3.48105974180706
"17185","1","1040",1040423,0,4,4,0,0,0,0,10,"4","0","4","0","10","0",4,5,4,5,4,4,4.45367913223614,4,4,4,4,3.73832891296306,3,3,0,2,2.26033155613895
"17195","1","1040",1040600,4,5,8,1,3,4,3,6,"5","3","8","3","6","1",6,6,5,6,5,5,5.36450052265491,6,7,5,6,5.85493318941979,3,3,3,3,2.64459867854228
"17198","1","1040",1040520,5,7,8,6,6,5,6,5,"7","6","8","6","5","6",7,7,7,7,7,7,7.03420318584055,7,8,8,7,7.3944734521038,6,5,5,6,6.2062865505594
"17199","1","1040",1040420,8,7,5,0,5,0,5,10,"7","5","5","5","10","0",6,7,7,7,6,6,6.30639942847016,6,7,7,6,6.49312282960391,4,8,5,4,4.16343287820749
"17200","1","1040",1040520,4,5,0,0,0,5,3,5,"5","3","0","0","5","0",3,3,2,2,2,3,3.30306760753945,3,3,5,3,3.3433599029289,1,1,0,1,1.27070338056882
"17206","1","1040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17207","1","1040",1040110,3,4,4,3,6,6,0,4,"4","0","4","6","4","3",5,5,4,5,3,4,3.91458782539863,4,4,4,4,3.73832891296306,4,5,4,4,4.22612475126162
"17208","1","1040",1040320,5,5,7,10,1,7,2,3,"5","2","7","1","3","10",5,4,5,4,5,5,5.35187971858607,6,6,7,6,5.82259542112027,6,1,0,3,3.00047855322762
"17212","1","1040",1040600,5,4,7,0,2,3,1,7,"4","1","7","2","7","0",5,5,5,5,4,5,4.68521752254617,5,5,3,4,4.12858856545135,2,3,0,2,2.18201297577689
"17213","1","1040",1040320,7,10,2,0,4,6,7,4,"10","7","2","4","4","0",5,6,5,5,3,5,4.77276700822933,7,7,8,6,5.94940800476499,2,3,3,2,2.40760267233781
"17214","1","1040",1040420,8,6,3,0,9,0,2,10,"6","2","3","9","10","0",6,7,6,7,6,6,5.98995479406635,5,5,5,5,5.26185312646363,5,10,10,8,7.59201666707558
"17225","1","1040",1040423,4,3,7,0,6,8,1,2,"3","1","7","6","2","0",4,5,4,5,3,5,4.53355503242787,5,5,2,3,3.37372212561371,2,3,0,2,2.338876290768
"17226","1","1040",1040420,10,0,10,10,10,10,10,0,"0","10","10","10","0","10",6,5,6,5,9,7,6.88879604447354,6,5,10,7,6.75165657588846,8,5,10,6,6.4633745532265
"17228","1","1040",1040320,6,3,5,7,1,2,0,8,"3","0","5","1","8","7",5,4,5,4,4,5,4.90476238736768,4,4,5,5,4.63759656852154,6,3,8,6,6.30516985627856
"17230","1","1040",1040520,4,3,3,0,0,7,2,3,"3","2","3","0","3","0",3,3,2,2,4,3,3.2148043906683,3,3,4,4,3.80110799813201,1,1,0,1,0.812314816094869
"17237","1","1040",1040520,5,3,5,3,5,4,5,6,"3","5","5","5","6","3",5,5,5,5,5,5,4.89245216320385,5,4,5,5,4.97207014808531,4,5,4,4,4.10650354844949
"17240","1","1040",1040320,5,3,10,10,0,10,0,0,"3","0","10","0","0","10",5,4,5,4,1,4,4.17421177246034,6,7,2,4,4.35792016016512,5,0,0,2,1.55137761522905
"17242","1","1040",1040520,8,10,6,0,0,0,0,10,"10","0","6","0","10","0",7,7,7,7,9,6,6.35641473616494,7,8,9,7,6.96391095450801,3,3,0,2,2.26033155613895
"17243","1","1040",1040420,5,5,5,2,4,3,4,7,"5","4","5","4","7","2",5,6,5,5,5,5,5.02186375539275,5,5,5,6,5.55783346038136,4,5,3,4,3.98822456665274
"17245","1","1040",1040320,3,5,5,5,5,5,4,5,"5","4","5","5","5","5",5,5,5,5,5,5,5.22705629008166,5,5,5,6,5.55783346038136,5,5,5,5,5.09518933055154
"17247","1","1040",1040420,7,5,5,7,3,5,3,5,"5","3","5","3","5","7",5,5,5,5,5,6,5.52470449966195,5,5,5,5,5.23817279625127,6,3,5,6,5.988628783755
"17253","1","1040",1040320,2,3,2,0,3,6,2,4,"3","2","2","3","4","0",3,3,3,3,2,3,3.01151537876354,3,3,3,3,3.22855603330147,2,2,0,2,2.07169285658334
"17262","1","1040",NA,NA,NA,3,0,0,0,0,10,NA,"0","3","0","10","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,2,2.26033155613895
"17267","1","1040",1040320,3,6,8,7,7,4,9,6,"6","9","8","7","6","7",7,7,8,7,7,7,6.91254419917204,7,8,8,7,6.94211947277453,7,6,8,7,6.8278224501592
"17273","1","1040",1040520,6,5,2,9,8,2,5,8,"5","5","2","8","8","9",6,6,7,6,8,6,5.7371132404213,4,4,5,5,4.65952508845224,8,8,8,8,8.16025044065612
"17274","1","1040",1040423,4,7,3,2,3,6,3,4,"7","3","3","3","4","2",5,5,5,5,4,4,4.4107344077266,5,5,5,6,6.04196318891649,3,2,3,3,2.83888866947871
"17278","1","1040",NA,NA,6,9,10,10,5,7,5,"6","7","9","10","5","10",8,8,8,8,8,8,7.63339704274483,7,8,7,8,7.52050626511512,9,8,10,9,8.72481721039849
"17284","1","1040",1040600,6,0,0,0,3,0,10,10,"0","10","0","3","10","0",3,4,3,3,1,4,4.05908291514486,2,2,2,3,2.6561290178939,3,5,1,3,2.84536506942249
"17286","1","1040",1040520,6,7,5,9,7,3,7,7,"7","7","5","7","7","9",7,7,7,7,8,7,7.32358204556758,6,7,7,6,6.46821425006375,8,7,9,8,8.13095243844485
"17291","1","1040",1040420,5,5,4,0,4,1,3,9,"5","3","4","4","9","0",5,6,5,6,5,5,4.81474530417694,5,5,5,5,4.79174055723118,3,6,1,3,3.40586960402096
"17294","1","1040",1040420,5,6,3,0,6,10,3,0,"6","3","3","6","0","0",4,4,4,4,4,5,4.55785653123412,5,5,4,6,5.62068164719953,2,2,0,1,1.46996331018633
"17299","1","1040",1040520,6,2,4,0,5,2,2,8,"2","2","4","5","8","0",4,5,4,5,4,4,4.05001445860696,3,3,4,4,3.62393284593049,3,6,2,3,3.20771015143038
"17301","1","1040",NA,5,NA,1,9,1,3,1,7,NA,"1","1","1","7","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,6,5.96857204263495
"17303","1","1040",1040423,7,5,5,5,5,5,5,5,"5","5","5","5","5","5",5,5,5,5,5,5,5.15060863986186,5,5,5,6,5.67037365764015,5,5,5,5,5.09518933055154
"17306","1","1040",1040110,1,8,2,0,0,10,0,0,"8","0","2","0","0","0",3,3,3,3,2,3,3.14958104251468,5,5,3,3,3.40348159787798,0,0,0,1,0.701834812350845
"17308","1","1040",1040520,5,4,4,5,6,6,7,4,"4","7","4","6","4","5",5,5,5,5,5,5,5.00938628703459,5,5,4,4,4.49779679728309,5,5,4,5,5.49271181706774
"17309","1","1040",1040420,4,3,0,0,1,3,0,7,"3","0","0","1","7","0",3,3,2,2,2,3,2.87391599130926,2,2,2,2,2.20083314455294,2,3,0,3,2.54282735599818
"17312","1","1040",1040420,5,4,5,2,0,4,1,6,"4","1","5","0","6","2",4,4,4,4,4,4,4.32513194421187,5,5,3,4,4.48490817124014,3,2,4,3,3.19062182887602
"17316","1","1040",NA,5,2,9,0,0,5,0,5,"2","0","9","0","5","0",4,4,4,4,2,3,3.49709388775193,5,5,2,3,3.29128075533971,1,1,0,1,1.27070338056882
"17319","1","1040",1040520,3,5,7,10,8,7,2,3,"5","2","7","8","3","10",6,6,7,6,8,7,6.52684082481553,6,6,7,6,5.82259542112027,8,5,9,7,6.53448999349932
"17334","1","1040",1040600,1,6,4,0,3,9,8,1,"6","8","4","3","1","0",4,4,4,4,5,5,4.74027517448301,6,6,5,6,5.72194505071289,1,1,0,1,1.45257266658764
"17346","1","1040",NA,3,NA,7,0,7,7,3,3,NA,"3","7","7","3","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,3,2.57071877486289
"17350","1","1040",1040520,4,5,5,3,6,7,1,3,"5","1","5","6","3","3",5,5,5,5,5,5,5.29557813185947,5,5,5,5,4.98888482270398,4,5,4,4,4.09981213021744
"17352","1","1040",1040320,3,2,4,0,8,2,5,8,"2","5","4","8","8","0",5,6,5,6,4,5,4.94707553207133,4,3,4,4,4.17802018113255,4,8,1,4,4.19485026004324
"17353","1","1040",1040520,10,10,5,10,7,0,0,10,"10","0","5","7","10","10",9,8,9,8,9,8,7.87774991296533,7,7,5,6,5.72830754864899,9,9,10,9,8.94496045783894
"17361","1","1040",1040520,5,3,2,9,4,3,3,7,"3","3","2","4","7","9",5,4,5,4,5,4,4.05308705962534,3,3,3,3,3.04269768476648,7,5,8,7,7.31949885013829
"17366","1","1040",NA,3,0,0,0,0,7,0,3,"0","0","0","0","3","0",1,1,1,1,1,1,1.36213765803846,1,1,0,1,1.25384706979733,1,1,0,1,0.812314816094869
"17377","1","1040",1040320,5,7,7,4,5,10,0,0,"7","0","7","5","0","4",5,5,5,5,5,5,5.43941238985526,6,7,9,7,6.74356349286711,3,2,3,3,3.43617809877176
"17385","1","1040",1040420,3,5,5,0,5,10,2,0,"5","2","5","5","0","0",4,4,4,4,5,5,4.5948512115399,5,5,5,5,5.07545437746879,2,2,0,2,1.51157303372224
"17387","1","1040",1040320,5,5,5,NA,NA,10,5,0,"5","5","5",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,5.67037365764015,NA,NA,NA,NA,NA
"17390","1","1040",1040320,0,NA,0,NA,0,0,0,10,NA,"0","0","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"17396","1","1040",NA,6,7,1,8,3,8,3,2,"7","3","1","3","2","8",4,4,4,3,2,4,4.03193230874433,4,4,7,4,4.03831070920619,5,2,3,4,4.45239203384006
"17397","1","1040",1040420,7,7,10,5,6,8,3,2,"7","3","10","6","2","5",7,7,7,7,7,7,6.7555736937317,8,8,8,8,7.65261415519276,5,3,7,6,6.03188581430533
"17398","1","1040",1040423,5,6,3,0,0,8,1,2,"6","1","3","0","2","0",3,3,3,3,4,4,4.01305533708271,5,5,5,5,4.53645517177733,1,0,0,1,0.79613874131045
"17399","1","1040",1040423,3,1,10,10,1,5,1,5,"1","1","10","1","5","10",5,4,5,5,1,5,4.64826384722936,5,5,0,3,3.01545006439031,6,2,5,5,4.9659813577551
"17405","1","1040",1040520,5,10,7,5,4,7,2,3,"10","2","7","4","3","5",7,6,7,7,5,6,5.96823295370316,8,8,9,8,7.70367056768622,4,3,5,5,4.74762709268559
"17406","1","1040",1040320,3,5,7,3,2,7,1,3,"5","1","7","2","3","3",5,5,5,5,5,5,4.73197098890354,6,6,6,6,5.95256495750453,3,2,3,3,2.86614531984626
"17423","1","1040",NA,5,10,0,0,0,0,0,10,"10","0","0","0","10","0",5,5,5,5,2,4,4.15523388324964,5,5,1,2,2.19929989462314,3,3,0,2,2.26033155613895
"17427","1","1040",1040420,10,10,0,10,0,0,5,10,"10","5","0","0","10","10",6,6,7,5,9,6,6.31906532498078,6,5,1,3,3.47086617472349,7,3,10,8,7.70273657718042
"17430","1","1040",1040420,7,5,3,0,9,0,0,10,"5","0","3","9","10","0",6,7,6,7,6,5,5.48976714047391,4,4,5,4,3.90485487082144,5,10,10,8,7.59201666707558
"17439","1","1040",1040320,2,5,3,0,5,7,2,3,"5","2","3","5","3","0",4,4,4,4,4,4,3.88271003827891,4,4,5,5,4.66303654047241,2,3,0,2,1.754718817392
"17453","1","1040",1040320,1,2,0,0,3,9,2,1,"2","2","0","3","1","0",2,2,2,2,2,2,2.11729251682518,2,2,2,2,2.31008197672028,1,1,0,1,1.45257266658764
"17460","1","1040",1040520,5,5,6,5,6,8,6,2,"5","6","6","6","2","5",5,5,5,5,6,6,6.11604431306951,6,6,6,6,6.02296148984532,5,3,7,6,6.03188581430533
"17467","1","1040",1040420,7,5,6,0,8,0,4,10,"5","4","6","8","10","0",7,7,7,8,6,7,7.0580698257786,6,6,6,6,5.94362650303751,5,9,9,7,6.63044232032049
"17478","1","1040",1040420,6,4,6,0,2,0,4,10,"4","4","6","2","10","0",5,6,5,6,6,6,5.71290424705927,5,5,5,5,5.28035809136903,3,5,0,3,2.50167702723162
"17482","1","1040",1040320,4,5,10,10,3,0,2,10,"5","2","10","3","10","10",8,7,8,7,9,7,6.99276397296674,7,7,5,6,5.52331821119116,8,5,10,8,8.23455869320048
"17486","1","1040",1040320,4,5,5,0,3,5,0,5,"5","0","5","3","5","0",4,5,4,5,5,4,4.40752695393187,5,5,5,5,4.84815837168018,2,3,0,2,2.30647059962789
"17487","1","1040",1040320,5,8,6,5,7,0,5,10,"8","5","6","7","10","5",8,8,8,8,7,7,7.21973490005308,7,7,8,7,7.09782787138485,7,9,7,7,7.36495818211059
"17494","1","1040",1040520,4,8,1,8,7,1,6,9,"8","6","1","7","9","8",7,7,7,7,8,7,6.55920773168142,5,5,8,5,4.80955157951272,8,8,8,8,7.9305200339279
"17514","1","1040",1040110,5,4,3,0,1,1,0,9,"4","0","3","1","9","0",4,4,4,4,4,4,3.65754769883522,4,4,4,4,3.54074052931504,3,4,0,3,2.51488231904274
"17515","1","1040",1040420,10,10,0,0,0,10,5,0,"10","5","0","0","0","0",3,3,3,3,2,3,3.09273849759462,6,5,1,3,3.47086617472349,0,0,0,1,0.701834812350845
"17520","1","1040",1040520,6,8,10,3,1,0,1,10,"8","1","10","1","10","3",7,7,8,8,7,7,6.91162635761782,8,8,9,8,8.1632157746156,4,5,2,4,4.22822615583036
"17522","1","1040",NA,5,10,5,0,0,5,0,5,"10","0","5","0","5","0",5,5,5,5,5,5,5.08868728082636,7,7,5,6,5.72830754864899,1,1,0,1,1.27070338056882
"17525","1","1040",1040320,4,5,4,0,3,3,1,7,"5","1","4","3","7","0",5,5,5,5,4,4,4.41028275159952,5,5,5,4,4.34851602538219,3,5,1,3,2.66052823453448
"17527","1","1040",1040320,5,5,5,5,5,5,5,5,"5","5","5","5","5","5",5,5,5,5,5,5,5.15060863986186,5,5,5,6,5.67037365764015,5,5,5,5,5.09518933055154
"17529","1","1040",1040600,3,5,8,0,2,7,0,3,"5","0","8","2","3","0",5,5,5,5,4,5,4.60695665030994,6,7,5,6,5.54791994648402,1,2,0,1,1.3333884806064
